material,trial_id,items_used
Apple,0,10
Apple,1,10
Apple,2,10
Apple,3,11
Apple,4,12
Apple,5,10
Apple,6,10
Apple,7,15
Apple,8,10
Apple,9,10
Apple,10,11
Apple,11,12
Apple,12,8
Apple,13,9
Apple,14,10
Apple,15,7
Apple,16,9
Apple,17,7
Apple,18,10
Apple,19,18
Apple,20,11
Apple,21,8
Apple,22,10
Apple,23,10
Apple,24,8
Apple,25,8
Apple,26,9
Apple,27,12
Apple,28,13
Apple,29,13
Apple,30,10
Apple,31,9
Apple,32,9
Apple,33,7
Apple,34,10
Apple,35,11
Apple,36,14
Apple,37,10
Apple,38,8
Apple,39,9
Apple,40,9
Apple,41,10
Apple,42,9
Apple,43,7
Apple,44,10
Apple,45,9
Apple,46,11
Apple,47,9
Apple,48,11
Apple,49,17
Apple,50,13
Apple,51,9
Apple,52,9
Apple,53,9
Apple,54,12
Apple,55,9
Apple,56,11
Apple,57,12
Apple,58,10
Apple,59,10
Apple,60,8
Apple,61,13
Apple,62,11
Apple,63,7
Apple,64,11
Apple,65,14
Apple,66,10
Apple,67,9
Apple,68,7
Apple,69,10
Apple,70,12
Apple,71,9
Apple,72,8
Apple,73,9
Apple,74,8
Apple,75,8
Apple,76,12
Apple,77,12
Apple,78,7
Apple,79,9
Apple,80,12
Apple,81,8
Apple,82,12
Apple,83,8
Apple,84,8
Apple,85,8
Apple,86,8
Apple,87,9
Apple,88,8
Apple,89,9
Apple,90,7
Apple,91,10
Apple,92,11
Apple,93,9
Apple,94,10
Apple,95,11
Apple,96,11
Apple,97,8
Apple,98,15
Apple,99,10
Apple,100,7
Apple,101,12
Apple,102,9
Apple,103,14
Apple,104,8
Apple,105,12
Apple,106,9
Apple,107,15
Apple,108,9
Apple,109,10
Apple,110,13
Apple,111,10
Apple,112,11
Apple,113,10
Apple,114,10
Apple,115,7
Apple,116,12
Apple,117,8
Apple,118,15
Apple,119,11
Apple,120,14
Apple,121,8
Apple,122,15
Apple,123,8
Apple,124,9
Apple,125,14
Apple,126,13
Apple,127,9
Apple,128,10
Apple,129,10
Apple,130,10
Apple,131,8
Apple,132,8
Apple,133,12
Apple,134,16
Apple,135,8
Apple,136,9
Apple,137,13
Apple,138,7
Apple,139,11
Apple,140,10
Apple,141,14
Apple,142,8
Apple,143,9
Apple,144,14
Apple,145,8
Apple,146,7
Apple,147,8
Apple,148,9
Apple,149,15
Apple,150,9
Apple,151,7
Apple,152,9
Apple,153,8
Apple,154,8
Apple,155,11
Apple,156,8
Apple,157,8
Apple,158,8
Apple,159,10
Apple,160,10
Apple,161,17
Apple,162,11
Apple,163,8
Apple,164,8
Apple,165,12
Apple,166,9
Apple,167,9
Apple,168,11
Apple,169,11
Apple,170,9
Apple,171,10
Apple,172,10
Apple,173,11
Apple,174,11
Apple,175,13
Apple,176,8
Apple,177,9
Apple,178,8
Apple,179,9
Apple,180,9
Apple,181,8
Apple,182,11
Apple,183,11
Apple,184,11
Apple,185,9
Apple,186,13
Apple,187,8
Apple,188,10
Apple,189,13
Apple,190,10
Apple,191,13
Apple,192,10
Apple,193,9
Apple,194,9
Apple,195,8
Apple,196,12
Apple,197,13
Apple,198,9
Apple,199,13
Apple,200,10
Apple,201,11
Apple,202,9
Apple,203,12
Apple,204,13
Apple,205,8
Apple,206,10
Apple,207,8
Apple,208,11
Apple,209,12
Apple,210,8
Apple,211,12
Apple,212,9
Apple,213,15
Apple,214,9
Apple,215,12
Apple,216,9
Apple,217,12
Apple,218,13
Apple,219,16
Apple,220,14
Apple,221,12
Apple,222,9
Apple,223,10
Apple,224,14
Apple,225,9
Apple,226,8
Apple,227,11
Apple,228,13
Apple,229,9
Apple,230,8
Apple,231,8
Apple,232,10
Apple,233,10
Apple,234,19
Apple,235,9
Apple,236,10
Apple,237,8
Apple,238,12
Apple,239,9
Apple,240,10
Apple,241,13
Apple,242,8
Apple,243,10
Apple,244,9
Apple,245,8
Apple,246,13
Apple,247,10
Apple,248,8
Apple,249,10
Apple,250,11
Apple,251,14
Apple,252,9
Apple,253,12
Apple,254,9
Apple,255,8
Apple,256,10
Apple,257,11
Apple,258,9
Apple,259,15
Apple,260,10
Apple,261,9
Apple,262,8
Apple,263,8
Apple,264,11
Apple,265,9
Apple,266,11
Apple,267,7
Apple,268,9
Apple,269,12
Apple,270,13
Apple,271,8
Apple,272,10
Apple,273,9
Apple,274,8
Apple,275,10
Apple,276,13
Apple,277,9
Apple,278,8
Apple,279,11
Apple,280,10
Apple,281,8
Apple,282,11
Apple,283,11
Apple,284,8
Apple,285,10
Apple,286,8
Apple,287,8
Apple,288,11
Apple,289,8
Apple,290,10
Apple,291,14
Apple,292,9
Apple,293,7
Apple,294,12
Apple,295,10
Apple,296,7
Apple,297,11
Apple,298,11
Apple,299,14
Apple,300,10
Apple,301,10
Apple,302,7
Apple,303,15
Apple,304,11
Apple,305,10
Apple,306,10
Apple,307,8
Apple,308,9
Apple,309,8
Apple,310,9
Apple,311,14
Apple,312,10
Apple,313,9
Apple,314,7
Apple,315,8
Apple,316,7
Apple,317,18
Apple,318,11
Apple,319,14
Apple,320,12
Apple,321,7
Apple,322,11
Apple,323,11
Apple,324,11
Apple,325,11
Apple,326,10
Apple,327,10
Apple,328,11
Apple,329,10
Apple,330,15
Apple,331,13
Apple,332,8
Apple,333,9
Apple,334,18
Apple,335,13
Apple,336,12
Apple,337,10
Apple,338,11
Apple,339,8
Apple,340,9
Apple,341,9
Apple,342,9
Apple,343,11
Apple,344,9
Apple,345,10
Apple,346,8
Apple,347,10
Apple,348,11
Apple,349,7
Apple,350,9
Apple,351,12
Apple,352,8
Apple,353,15
Apple,354,8
Apple,355,10
Apple,356,9
Apple,357,12
Apple,358,13
Apple,359,9
Apple,360,7
Apple,361,7
Apple,362,10
Apple,363,9
Apple,364,14
Apple,365,14
Apple,366,9
Apple,367,9
Apple,368,13
Apple,369,9
Apple,370,11
Apple,371,10
Apple,372,8
Apple,373,10
Apple,374,14
Apple,375,9
Apple,376,9
Apple,377,14
Apple,378,13
Apple,379,9
Apple,380,9
Apple,381,9
Apple,382,13
Apple,383,8
Apple,384,11
Apple,385,7
Apple,386,7
Apple,387,8
Apple,388,9
Apple,389,9
Apple,390,16
Apple,391,9
Apple,392,8
Apple,393,8
Apple,394,9
Apple,395,9
Apple,396,12
Apple,397,8
Apple,398,11
Apple,399,8
Apple,400,11
Apple,401,14
Apple,402,12
Apple,403,9
Apple,404,8
Apple,405,8
Apple,406,11
Apple,407,9
Apple,408,10
Apple,409,12
Apple,410,9
Apple,411,11
Apple,412,13
Apple,413,7
Apple,414,15
Apple,415,11
Apple,416,12
Apple,417,11
Apple,418,14
Apple,419,8
Apple,420,8
Apple,421,18
Apple,422,8
Apple,423,9
Apple,424,10
Apple,425,14
Apple,426,9
Apple,427,13
Apple,428,8
Apple,429,12
Apple,430,10
Apple,431,7
Apple,432,8
Apple,433,12
Apple,434,12
Apple,435,8
Apple,436,9
Apple,437,8
Apple,438,11
Apple,439,10
Apple,440,9
Apple,441,8
Apple,442,9
Apple,443,11
Apple,444,10
Apple,445,12
Apple,446,14
Apple,447,7
Apple,448,10
Apple,449,14
Apple,450,8
Apple,451,10
Apple,452,9
Apple,453,9
Apple,454,8
Apple,455,11
Apple,456,15
Apple,457,15
Apple,458,7
Apple,459,14
Apple,460,8
Apple,461,8
Apple,462,12
Apple,463,10
Apple,464,10
Apple,465,13
Apple,466,9
Apple,467,9
Apple,468,12
Apple,469,9
